student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,aptitude_score,projects,placed,company_type,package_lpa
32,Male,20,BSc,IT,5.71,0,1,5,3,5,41,0,0,None,0
33,Female,23,BCA,AI,9.26,1,0,0,7,3,50,3,0,None,0
34,Female,20,BSc,IT,8.97,0,2,3,4,4,47,2,0,None,0
35,Female,21,BCA,Mechanical,8.88,2,1,3,4,10,60,5,0,None,0
36,Male,21,BCA,DS,5.57,1,2,2,4,5,88,4,0,None,0
37,Female,24,BE,CS,5.7,0,0,4,6,9,72,2,0,None,0
38,Male,23,BSc,DS,7.86,0,3,2,9,10,89,2,1,Startup,11.08
39,Male,22,BE,DS,9.78,3,0,1,9,3,46,5,0,None,0
40,Male,21,BSc,Mechanical,6.97,1,1,2,5,5,80,5,1,Service,14.96
41,Male,23,BCA,DS,6.98,3,1,5,8,9,64,2,1,Product,10.64
42,Male,20,BTech,DS,6.08,0,0,4,4,1,48,4,0,None,0
43,Female,24,BTech,Mechanical,8.4,2,3,1,8,5,81,2,1,Service,8.43
44,Female,20,BSc,Mechanical,8.28,2,1,5,10,4,87,3,1,Service,5.81
45,Female,21,BSc,AI,5.94,1,0,4,9,1,82,2,0,None,0
46,Female,21,BE,DS,7.51,2,3,1,8,1,77,1,1,Startup,11.8
47,Female,20,BCA,IT,8.37,1,2,2,8,7,66,2,1,Service,6.05
48,Male,21,BTech,CS,7.62,1,1,4,9,6,83,2,1,Service,13.14
49,Female,23,BE,Electrical,8.4,0,2,5,10,1,92,4,1,Service,5.53
50,Female,21,BSc,CS,9.01,0,1,5,8,4,99,0,1,Startup,13.3
51,Male,24,BCA,Mechanical,8.45,0,2,4,4,7,49,4,0,None,0
52,Female,23,BE,Electrical,8.15,3,0,5,5,6,87,4,1,Service,13.05
53,Male,22,BE,Mechanical,9.17,0,3,5,10,10,65,2,1,Product,8
54,Female,21,BSc,AI,9.37,1,0,0,6,2,66,5,1,Service,6.86
55,Male,21,BCA,DS,7.17,0,0,0,5,9,95,0,1,Service,11.37
56,Female,24,BTech,Mechanical,6.24,3,0,3,9,10,61,4,0,None,0
57,Female,24,BE,Mechanical,9.02,0,1,0,2,3,95,1,0,None,0
58,Male,20,BSc,CS,6.42,2,2,4,6,2,85,0,0,None,0
59,Male,20,BE,DS,9.49,1,1,3,10,1,88,5,1,Service,8.15
60,Male,20,BSc,AI,5.6,2,1,2,2,3,59,4,0,None,0
61,Male,24,BSc,Mechanical,9.46,2,3,3,8,6,65,2,1,Startup,9.68
62,Male,20,BSc,Mechanical,8.03,3,0,5,8,10,76,5,1,Product,10.15
63,Male,20,BCA,Mechanical,8.83,2,1,1,5,1,75,1,1,Product,14.62
64,Male,22,BTech,CS,7.21,0,2,3,10,2,68,5,1,Startup,11.92
65,Male,20,BCA,Mechanical,9.76,1,1,0,8,9,93,0,1,Startup,6.04
66,Female,21,BTech,Mechanical,6.48,2,3,2,5,1,52,5,0,None,0
67,Female,24,BSc,CS,6.64,2,3,1,4,1,46,1,0,None,0
68,Male,23,BTech,Mechanical,5.72,1,2,3,9,9,50,3,0,None,0
69,Female,22,BCA,DS,9.54,0,3,2,8,3,82,4,1,Product,11.35
70,Female,24,BE,DS,7.46,2,0,0,4,6,95,2,0,None,0
71,Female,24,BCA,CS,8.4,1,0,2,2,3,95,5,0,None,0
72,Female,21,BCA,DS,8.46,0,3,2,2,2,92,5,0,None,0
73,Male,20,BCA,Electrical,9.26,0,1,1,2,3,95,3,0,None,0
74,Female,21,BCA,Electrical,8.36,0,3,4,10,10,83,2,1,Product,13.13
75,Male,20,BCA,Electrical,7.92,3,2,0,8,4,42,4,0,None,0
76,Female,20,BTech,AI,8.55,0,0,1,6,1,83,5,1,Startup,14.15
77,Female,24,BTech,Mechanical,8.73,0,0,1,1,3,74,3,0,None,0
78,Female,20,BE,AI,6.3,1,1,1,10,7,40,0,0,None,0
79,Male,22,BCA,DS,5.97,3,2,4,4,2,81,3,0,None,0
80,Female,22,BCA,CS,5.82,0,0,4,3,7,40,5,0,None,0
81,Male,22,BE,Electrical,7.11,2,0,3,10,4,72,5,1,Service,6.3
82,Female,24,BE,CS,7.64,3,2,3,7,7,65,0,1,Startup,7.56
83,Male,21,BSc,AI,8.15,1,1,0,10,3,82,0,1,Product,3.5
84,Female,23,BE,DS,9.62,3,3,5,5,7,87,2,1,Startup,13.79
85,Male,20,BE,Mechanical,6.92,2,1,0,1,10,42,1,0,None,0
86,Male,23,BE,DS,8.77,3,0,4,6,7,63,1,1,Product,9.36
87,Female,21,BSc,Electrical,7.78,2,0,4,4,3,96,5,0,None,0
88,Male,21,BTech,DS,6.45,0,1,4,10,6,74,0,0,None,0
89,Female,24,BSc,CS,8.15,0,1,1,6,9,79,4,1,Startup,6.48
90,Female,22,BTech,IT,9.66,3,0,4,7,7,98,1,1,Product,10.97
91,Female,22,BE,Electrical,6.03,3,2,1,9,5,84,1,0,None,0
92,Female,21,BSc,Mechanical,7.68,1,2,1,1,1,55,4,0,None,0
93,Female,24,BSc,Electrical,5.72,1,3,0,6,8,86,2,0,None,0
94,Female,24,BTech,Electrical,6.88,2,0,2,8,4,81,0,1,Startup,3.7
95,Female,20,BSc,Mechanical,8.17,0,0,3,4,2,88,5,0,None,0
96,Female,22,BSc,Electrical,9.12,3,3,3,10,9,74,3,1,Product,12.7
97,Female,21,BCA,CS,8.64,0,0,0,9,3,53,3,0,None,0
98,Female,23,BTech,DS,7.49,3,0,0,4,6,72,0,0,None,0
99,Female,22,BSc,CS,9.41,2,1,4,4,3,97,2,0,None,0
100,Male,20,BSc,DS,6.8,0,2,4,9,7,48,5,0,None,0
101,Male,24,BE,IT,8.74,1,2,4,4,2,58,3,0,None,0
102,Female,21,BCA,Electrical,7.54,2,2,1,9,4,97,5,1,Service,11.49
103,Female,22,BCA,IT,9.36,0,3,1,1,10,69,5,0,None,0
104,Female,23,BE,AI,8.93,2,1,4,8,9,49,1,0,None,0
105,Female,20,BE,DS,9.38,3,0,1,2,8,92,2,0,None,0
106,Female,20,BE,CS,6.42,0,2,0,8,8,50,4,0,None,0
107,Female,22,BE,CS,8.37,0,2,4,5,8,65,0,1,Startup,4.53
108,Female,23,BCA,Electrical,8.68,0,1,3,1,7,65,3,0,None,0
109,Female,20,BSc,CS,8.69,1,0,3,1,6,53,0,0,None,0
110,Male,21,BSc,AI,7.67,2,3,5,6,8,55,4,0,None,0
111,Female,20,BE,Mechanical,5.55,1,0,1,1,7,78,3,0,None,0
112,Male,23,BTech,CS,6.62,1,3,3,2,1,69,0,0,None,0
113,Female,24,BE,Electrical,6.89,2,3,4,3,6,48,4,0,None,0
114,Female,24,BSc,IT,9.16,2,0,3,2,8,52,1,0,None,0
115,Male,22,BTech,CS,9.12,0,3,0,9,5,78,4,1,Service,3.96
116,Female,23,BE,CS,5.95,0,2,1,10,6,40,2,0,None,0
117,Male,20,BTech,CS,9.58,2,1,3,6,2,94,2,1,Service,5.33
118,Female,20,BE,Electrical,6.28,0,2,1,9,2,78,4,0,None,0
119,Female,24,BCA,Mechanical,7.28,3,3,0,5,2,41,5,0,None,0
120,Male,24,BSc,CS,6.43,0,3,3,4,6,62,5,0,None,0
121,Female,21,BE,Mechanical,9.2,2,1,5,2,5,73,1,0,None,0
122,Male,24,BTech,Mechanical,8.72,1,1,4,4,6,40,0,0,None,0
123,Female,21,BSc,AI,7.02,2,2,2,8,6,80,0,1,Service,8.54
124,Male,20,BE,IT,8.43,2,1,3,2,4,81,1,0,None,0
125,Male,21,BE,CS,6.29,1,1,0,8,7,81,3,0,None,0
126,Female,21,BE,CS,7.14,3,3,5,2,9,44,4,0,None,0
127,Female,22,BE,CS,7.12,0,1,5,1,7,78,2,0,None,0
128,Male,24,BCA,Mechanical,6.52,3,3,2,4,6,71,2,0,None,0
129,Female,21,BSc,DS,9.27,1,0,5,7,3,49,2,0,None,0
130,Female,20,BCA,IT,8.42,3,0,3,2,6,61,5,0,None,0
131,Female,23,BSc,Electrical,6.7,1,0,1,3,8,63,5,0,None,0
132,Male,21,BE,CS,6.54,2,3,0,6,8,97,0,1,Service,14.63
133,Male,24,BSc,DS,5.58,3,0,3,2,4,74,0,0,None,0
134,Male,22,BTech,DS,6.99,0,2,0,9,5,70,1,1,Startup,9.24
135,Male,20,BSc,DS,7.77,0,3,4,6,4,83,3,1,Product,13.25
136,Male,22,BTech,IT,6.69,1,2,2,6,2,91,5,1,Product,4.82
137,Male,23,BTech,DS,8.51,2,3,2,8,5,87,4,1,Product,7.72
138,Male,21,BCA,Electrical,7.27,3,2,4,1,1,89,2,0,None,0
139,Male,21,BSc,CS,6.86,3,0,2,10,2,87,1,1,Product,9.56
140,Male,24,BE,Electrical,9.54,1,2,2,3,7,60,3,0,None,0
141,Female,21,BSc,CS,6.63,3,0,5,2,5,98,0,0,None,0
142,Male,20,BCA,AI,7.21,0,3,4,1,10,49,2,0,None,0
143,Female,23,BTech,Mechanical,7.14,0,0,1,6,8,66,4,1,Service,10.76
144,Female,22,BTech,DS,6.54,3,1,5,4,6,72,5,0,None,0
145,Female,23,BCA,Electrical,6.44,3,1,2,6,8,55,2,0,None,0
146,Male,21,BCA,Mechanical,6.8,2,0,1,8,2,44,2,0,None,0
147,Male,22,BSc,Mechanical,9.22,2,1,0,7,8,63,4,1,Product,3.57
148,Male,24,BTech,Mechanical,8.8,3,1,0,3,9,83,5,0,None,0
149,Male,23,BCA,Mechanical,8.43,3,1,2,3,8,87,1,0,None,0
150,Female,22,BSc,Mechanical,7.47,1,1,0,6,7,66,4,1,Product,6.38
151,Male,22,BSc,CS,7.68,2,2,4,1,8,93,5,0,None,0
152,Male,22,BE,IT,6.65,3,1,2,3,2,53,5,0,None,0
153,Male,20,BTech,DS,5.82,1,3,4,8,6,49,4,0,None,0
154,Male,23,BSc,DS,6.92,2,0,1,3,7,96,0,0,None,0
155,Male,22,BCA,CS,7.63,1,3,3,1,9,55,1,0,None,0
156,Female,23,BTech,Electrical,5.75,3,1,3,10,3,68,1,0,None,0
157,Male,22,BCA,CS,5.88,0,3,5,9,6,54,3,0,None,0
158,Female,24,BCA,Mechanical,6.63,0,1,2,2,8,61,3,0,None,0
159,Male,24,BSc,IT,7.08,0,2,4,7,4,82,0,1,Product,3.63
160,Female,24,BSc,DS,7.19,0,2,3,8,5,96,5,1,Service,8.37
161,Male,21,BE,Electrical,6.01,3,2,2,3,2,45,0,0,None,0
162,Male,22,BCA,AI,6.47,0,1,5,7,10,98,3,0,None,0
163,Female,21,BSc,CS,6.63,0,0,3,10,7,90,3,1,Service,9.56
164,Female,23,BE,AI,5.79,3,2,5,4,8,86,1,0,None,0
165,Female,21,BTech,DS,6.9,2,1,3,2,6,66,3,0,None,0
166,Male,23,BE,CS,5.81,2,1,0,4,9,68,4,0,None,0
167,Female,23,BE,DS,8.52,2,3,2,8,3,84,5,1,Startup,6.31
168,Male,23,BCA,CS,7.16,1,1,5,2,9,67,2,0,None,0
169,Male,21,BTech,Electrical,6.91,2,3,5,6,9,58,4,0,None,0
170,Female,22,BCA,DS,6.04,3,2,3,10,9,72,5,0,None,0
171,Female,21,BCA,AI,6.47,2,3,5,3,6,49,3,0,None,0
172,Male,22,BE,IT,6.5,1,1,2,3,9,95,2,0,None,0
173,Male,22,BE,Electrical,9.74,1,3,0,6,7,50,0,0,None,0
174,Female,23,BSc,Electrical,9.09,0,2,2,3,8,83,3,0,None,0
175,Female,21,BE,CS,5.57,3,1,0,2,8,69,3,0,None,0
176,Female,22,BSc,AI,8.15,2,0,3,2,8,53,0,0,None,0
177,Male,24,BCA,DS,6.6,2,0,5,3,3,55,3,0,None,0
178,Male,22,BE,AI,5.95,3,1,5,2,6,46,2,0,None,0
179,Male,24,BTech,Electrical,8.53,3,2,3,6,7,92,0,1,Startup,7.27
180,Male,21,BTech,CS,6.07,3,1,3,4,4,43,0,0,None,0
181,Male,21,BCA,AI,7.41,3,0,0,1,4,55,1,0,None,0
182,Male,21,BCA,DS,8.22,3,1,1,3,7,99,3,0,None,0
183,Female,22,BE,Mechanical,7.88,3,3,0,10,2,90,1,1,Product,5.83
184,Male,20,BSc,Electrical,9.7,3,3,0,3,8,74,2,0,None,0
185,Male,22,BE,IT,8.88,1,2,5,4,6,48,5,0,None,0
186,Male,22,BSc,IT,8.83,0,2,4,6,9,88,2,1,Service,10.67
187,Female,23,BE,Electrical,7.03,2,2,3,1,5,75,0,0,None,0
188,Male,23,BTech,Mechanical,5.54,1,2,3,2,10,48,1,0,None,0
189,Male,22,BTech,CS,8.66,1,3,4,10,10,71,3,1,Service,12.77
190,Female,24,BSc,AI,9.8,2,0,5,3,1,85,2,0,None,0
191,Male,23,BE,AI,7.25,1,2,1,5,7,96,1,1,Startup,10.19
192,Male,22,BCA,Mechanical,9.74,3,2,2,7,4,65,0,1,Service,9.67
193,Male,20,BSc,Mechanical,6.11,1,0,3,1,10,96,4,0,None,0
194,Male,24,BTech,DS,6.78,2,2,3,2,4,83,0,0,None,0
195,Male,21,BSc,DS,6.23,0,0,0,4,3,58,5,0,None,0
196,Female,22,BE,IT,7.54,2,2,1,10,5,92,0,1,Product,5.57
197,Female,22,BCA,CS,8.93,0,2,1,1,6,82,1,0,None,0
198,Female,24,BCA,CS,6.96,3,2,5,1,3,43,4,0,None,0
199,Male,23,BSc,Mechanical,9.4,1,3,1,9,8,70,3,1,Service,5.56
200,Male,23,BE,IT,7.84,2,3,1,6,2,52,0,0,None,0
201,Male,23,BE,IT,7.5,2,3,4,2,7,85,0,0,None,0
202,Female,21,BCA,DS,8.88,0,2,0,10,1,49,4,0,None,0
203,Male,24,BTech,AI,5.94,1,3,5,7,9,87,3,0,None,0
204,Male,24,BE,CS,8.83,2,3,4,10,9,59,0,0,None,0
205,Female,23,BCA,IT,6.54,2,3,4,6,5,91,0,1,Product,12.94
206,Male,23,BCA,DS,6.71,1,1,2,6,2,45,1,0,None,0
207,Female,20,BE,DS,8.08,3,3,0,8,6,83,5,1,Service,9.51
208,Female,20,BE,DS,9.38,0,1,1,10,10,87,1,1,Startup,10.84
209,Female,22,BSc,AI,7.99,2,3,5,3,5,47,2,0,None,0
210,Male,22,BTech,IT,8.29,1,2,0,10,4,74,1,1,Product,3.58
211,Male,24,BSc,Mechanical,8.84,3,2,1,2,2,54,3,0,None,0
212,Male,24,BSc,Mechanical,6.62,2,2,2,9,5,68,2,1,Startup,4.43
213,Male,21,BCA,DS,9.06,3,1,3,5,8,89,1,1,Service,8.14
214,Male,21,BCA,DS,7.3,2,2,4,6,2,47,4,0,None,0
215,Male,20,BTech,AI,6.26,2,0,2,7,7,48,1,0,None,0
216,Male,22,BSc,DS,7.01,3,3,4,2,3,68,5,0,None,0
217,Female,20,BSc,Electrical,6.56,0,1,5,6,6,62,1,1,Product,14.57
218,Male,20,BCA,IT,6.48,3,1,1,1,4,91,5,0,None,0
219,Female,22,BCA,DS,6.72,1,1,5,9,6,94,1,1,Service,12.59
220,Male,21,BE,DS,6.28,2,2,1,6,2,51,5,0,None,0
221,Male,22,BSc,IT,8.37,3,0,2,7,10,67,0,1,Product,9.78
222,Male,23,BTech,CS,7.99,3,1,3,5,5,86,5,1,Product,12.45
223,Female,23,BSc,Electrical,8.29,2,3,3,2,2,83,4,0,None,0
224,Female,23,BCA,Electrical,6.98,2,3,4,4,8,54,2,0,None,0
225,Female,24,BE,Mechanical,8.81,3,0,1,5,9,89,0,1,Service,4.81
226,Female,21,BSc,DS,6.06,0,3,1,10,8,74,4,0,None,0
227,Male,21,BTech,IT,7.96,2,0,3,2,1,68,2,0,None,0
228,Female,24,BCA,Mechanical,6.68,3,3,1,9,5,97,5,1,Product,14.49
229,Male,20,BE,AI,7.77,1,0,5,2,4,57,1,0,None,0
230,Male,23,BSc,CS,6.89,0,2,1,2,4,79,0,0,None,0
231,Female,23,BTech,DS,8.9,1,3,2,2,7,57,2,0,None,0
232,Female,20,BCA,CS,9.33,2,3,3,2,10,49,1,0,None,0
233,Female,22,BTech,DS,8.69,2,3,3,5,10,46,0,0,None,0
234,Female,22,BSc,DS,6.26,0,2,5,7,4,41,2,0,None,0
235,Female,21,BCA,DS,6.68,2,2,5,1,1,57,2,0,None,0
236,Female,24,BSc,CS,9.45,1,1,0,9,3,81,0,1,Startup,11.39
237,Female,21,BE,Electrical,7.38,3,1,5,6,8,90,0,1,Startup,5.98
238,Female,22,BSc,AI,9.55,3,0,3,1,10,74,5,0,None,0
239,Male,20,BE,Electrical,7.19,1,1,3,1,7,77,5,0,None,0
240,Female,21,BSc,IT,9.59,1,3,5,9,2,49,2,0,None,0
241,Female,23,BTech,IT,9.48,2,2,0,9,7,59,3,0,None,0
242,Male,23,BTech,Electrical,8.34,2,2,1,1,2,96,1,0,None,0
243,Female,20,BCA,AI,5.54,0,2,1,1,6,49,2,0,None,0
244,Male,22,BTech,AI,7.22,3,2,4,5,8,52,0,0,None,0
245,Male,23,BTech,DS,9.42,0,0,1,5,3,92,2,1,Service,13.52
246,Female,23,BE,DS,9.31,1,1,3,7,3,63,0,1,Startup,9.37
247,Male,24,BTech,IT,6.31,1,2,4,4,8,81,1,0,None,0
248,Male,21,BE,DS,7.22,0,0,4,10,8,90,5,1,Service,14.17
249,Male,22,BE,DS,9.09,0,3,5,1,10,85,0,0,None,0
250,Male,21,BE,AI,7.98,3,1,5,6,6,50,0,0,None,0
251,Female,22,BSc,CS,9.14,1,0,1,10,1,96,3,1,Startup,9.4
252,Male,23,BE,Electrical,9.05,0,2,4,3,3,59,5,0,None,0
253,Female,24,BSc,Mechanical,9.4,3,2,0,7,10,55,0,0,None,0
254,Male,21,BE,Mechanical,6,2,2,4,1,7,74,4,0,None,0
255,Male,23,BSc,DS,6.12,2,3,2,4,2,52,4,0,None,0
256,Male,22,BCA,DS,5.86,3,1,0,10,9,85,3,0,None,0
257,Male,21,BCA,Electrical,9.52,0,2,3,9,9,48,1,0,None,0
258,Female,21,BSc,Mechanical,7.54,3,1,1,10,2,70,1,1,Startup,12.17
259,Female,23,BCA,AI,5.78,3,3,1,6,6,75,0,0,None,0
260,Male,21,BTech,Mechanical,6.88,0,0,5,2,2,93,3,0,None,0
261,Male,24,BE,Mechanical,7.01,2,1,2,6,1,53,5,0,None,0
262,Female,24,BSc,Mechanical,8.98,3,0,1,9,10,82,3,1,Service,10.36
263,Male,23,BCA,DS,8.66,2,1,3,1,9,51,3,0,None,0
264,Male,22,BCA,DS,8.46,3,2,4,5,5,62,4,1,Service,9.71
265,Male,23,BTech,Electrical,5.59,1,2,1,8,1,88,5,0,None,0
266,Female,24,BE,Mechanical,9.42,0,0,3,7,7,71,1,1,Startup,11.09
267,Female,20,BTech,DS,6.43,2,1,5,10,3,87,5,0,None,0
268,Female,20,BSc,Electrical,8.2,0,3,0,2,6,40,4,0,None,0
269,Male,21,BCA,Mechanical,5.77,2,1,3,8,4,55,1,0,None,0
270,Male,21,BCA,AI,5.85,2,0,5,9,3,89,2,0,None,0
271,Female,20,BCA,DS,5.54,0,1,2,10,6,97,0,0,None,0
272,Female,24,BTech,CS,7.93,3,1,3,8,8,50,5,0,None,0
273,Female,21,BTech,Electrical,8.21,3,0,1,6,6,68,2,1,Service,3.31
274,Female,23,BE,DS,5.72,1,0,4,9,6,41,5,0,None,0
275,Male,23,BSc,AI,6.75,2,0,3,8,5,55,0,0,None,0
276,Female,24,BE,AI,9.16,0,1,2,4,5,55,0,0,None,0
277,Male,21,BE,DS,5.94,2,0,0,6,1,66,3,0,None,0
278,Female,23,BCA,IT,6.43,3,0,2,5,4,75,4,0,None,0
279,Male,21,BTech,Electrical,7.32,0,3,5,10,8,72,4,1,Startup,10.43
280,Female,21,BSc,Mechanical,9.12,0,3,0,9,6,65,1,1,Service,13.65
281,Female,23,BE,Mechanical,6.6,2,3,3,4,7,50,3,0,None,0
282,Female,20,BSc,AI,9.79,1,0,4,1,9,46,4,0,None,0
283,Female,23,BCA,DS,7.03,3,0,2,9,8,77,1,1,Service,3.07
284,Male,24,BE,IT,7.16,3,3,4,9,4,77,1,1,Product,11.12
285,Female,22,BTech,Electrical,6.03,2,2,5,7,7,64,1,0,None,0
286,Male,23,BE,CS,8.42,2,2,3,5,3,91,4,1,Startup,6.24
287,Male,21,BCA,Mechanical,6.55,1,3,4,7,5,95,0,1,Service,14.98
288,Male,21,BE,Electrical,8.2,3,3,4,9,3,89,3,1,Startup,8.98
289,Male,23,BCA,Electrical,6.46,1,2,2,3,7,47,3,0,None,0
290,Female,22,BE,IT,7.17,0,3,3,5,3,97,1,1,Service,5.22
291,Male,23,BSc,Electrical,9.18,0,0,4,3,8,67,1,0,None,0
292,Male,22,BTech,Mechanical,8.68,1,3,0,8,10,45,1,0,None,0
293,Male,22,BCA,DS,6.16,1,1,1,1,8,79,1,0,None,0
294,Female,24,BSc,Mechanical,8.11,2,2,0,4,6,68,1,0,None,0
295,Female,21,BCA,CS,8.2,3,0,5,7,9,42,1,0,None,0
296,Female,21,BE,DS,5.89,3,2,4,9,2,75,5,0,None,0
297,Female,22,BCA,AI,7.5,3,3,3,10,6,45,3,0,None,0
298,Male,21,BCA,IT,6.62,1,2,0,2,4,88,5,0,None,0
299,Male,20,BTech,Mechanical,7.51,2,3,3,9,7,40,1,0,None,0
300,Female,22,BSc,DS,8.84,2,0,5,6,1,54,0,0,None,0
301,Male,21,BE,Electrical,6.18,2,0,0,7,4,68,2,0,None,0
302,Male,20,BTech,DS,6.03,1,2,3,4,10,54,5,0,None,0
303,Male,24,BCA,Mechanical,6.66,1,0,4,5,4,51,5,0,None,0
304,Female,21,BTech,AI,9.59,2,2,2,1,6,95,4,0,None,0
305,Female,20,BCA,Mechanical,8.72,1,2,0,4,10,45,4,0,None,0
306,Male,23,BE,AI,5.58,0,2,5,8,6,98,5,0,None,0
307,Female,23,BCA,Electrical,7.22,3,2,3,6,6,91,3,1,Product,8.85
308,Female,20,BTech,Mechanical,6.61,3,1,0,7,4,76,4,1,Startup,14.36
309,Female,22,BTech,DS,8.24,3,1,3,1,5,46,1,0,None,0
310,Female,22,BCA,CS,7.47,0,3,3,7,8,79,0,1,Service,7.8
311,Female,21,BSc,CS,9.65,2,0,2,6,3,81,3,1,Service,12.87
312,Male,23,BTech,Electrical,6.44,3,1,3,4,6,78,3,0,None,0
313,Female,22,BSc,DS,8.03,1,1,0,2,1,78,0,0,None,0
314,Male,22,BSc,CS,8.51,0,0,5,2,10,94,5,0,None,0
315,Male,23,BSc,Electrical,9.05,2,2,4,7,6,85,1,1,Service,14.14
316,Female,24,BSc,AI,7.25,0,1,5,3,9,43,3,0,None,0
317,Male,22,BTech,DS,8.45,3,1,1,2,8,92,0,0,None,0
318,Male,20,BTech,AI,6.8,2,1,3,10,5,49,1,0,None,0
319,Male,21,BSc,DS,7.37,3,1,1,3,7,52,5,0,None,0
320,Female,22,BTech,AI,9.35,2,2,4,10,5,46,0,0,None,0
321,Female,22,BSc,AI,9.58,3,0,5,2,3,74,1,0,None,0
322,Male,24,BSc,CS,8.59,2,1,1,3,9,44,4,0,None,0
323,Female,20,BSc,DS,7.11,0,1,3,5,7,94,0,1,Product,12.49
324,Female,21,BCA,Mechanical,9.03,2,1,0,10,8,57,1,0,None,0
325,Female,22,BE,CS,5.61,2,1,5,10,7,46,2,0,None,0
326,Female,21,BTech,AI,5.94,0,0,5,10,7,77,4,0,None,0
327,Male,23,BTech,AI,8.34,2,2,2,5,8,47,3,0,None,0
328,Male,22,BSc,Mechanical,6.75,0,3,5,7,8,78,0,1,Startup,7.55
329,Female,22,BCA,Mechanical,9.59,3,0,3,10,6,91,1,1,Product,9.09
330,Female,23,BCA,AI,7.38,3,1,3,3,4,92,3,0,None,0
331,Male,24,BTech,Mechanical,7.35,3,3,2,3,5,82,3,0,None,0
332,Male,22,BSc,IT,8.42,2,1,2,7,6,81,5,1,Startup,14.35
333,Female,21,BTech,CS,8.8,1,0,5,6,9,65,3,1,Service,14.82
334,Male,20,BSc,DS,7.54,1,2,2,6,5,45,3,0,None,0
335,Female,21,BSc,Mechanical,6.42,3,3,2,4,9,57,1,0,None,0
336,Female,24,BE,Mechanical,8.83,0,3,2,4,9,97,5,0,None,0
337,Male,20,BSc,IT,6.88,2,2,3,2,8,77,1,0,None,0
338,Male,21,BE,DS,6.25,0,2,1,6,10,49,5,0,None,0
339,Female,21,BTech,IT,8.22,2,3,0,10,6,48,2,0,None,0
340,Female,23,BTech,DS,5.89,0,3,3,3,1,79,2,0,None,0
341,Male,24,BCA,CS,9.68,3,3,4,6,5,51,1,0,None,0
342,Female,23,BE,Mechanical,8.22,1,3,5,3,3,68,5,0,None,0
343,Male,20,BTech,CS,9.74,0,2,3,3,9,60,1,0,None,0
344,Female,23,BE,DS,6.96,3,0,5,1,4,60,2,0,None,0
345,Male,24,BTech,Mechanical,9.68,1,0,3,5,7,66,1,1,Service,13.5
346,Male,22,BE,IT,6.13,1,2,1,2,6,81,0,0,None,0
347,Male,22,BE,AI,5.67,1,0,5,10,6,51,5,0,None,0
348,Female,20,BSc,IT,5.64,0,0,2,2,5,68,0,0,None,0
349,Female,22,BTech,AI,7.5,0,1,5,9,1,65,0,1,Startup,8.12
